metric,trackA_bcmv8,trackB_emulator,delta
Overall ROC-AUC,0.9231,0.92,0.0031
Overall Avg Precision,0.2525,0.246,0.0065
Overall Brier Score,0.0305,0.0303,0.0003
Fire Season ROC-AUC,0.8596,0.8575,0.0021
WY2020 ROC-AUC,0.9263,0.9164,0.0099
WY2021 ROC-AUC,0.8982,0.9257,-0.0275
WY2022 ROC-AUC,0.8381,0.8567,-0.0185
WY2023 ROC-AUC,0.8945,0.8889,0.0057
WY2024 ROC-AUC,0.9243,0.9272,-0.0029
