metric,trackA_bcmv8,trackB_emulator,delta
Overall ROC-AUC,0.9307,0.9182,0.0126
Overall Avg Precision,0.6287,0.5658,0.0629
Overall Brier Score,0.0721,0.0772,-0.0051
Fire Season ROC-AUC,0.8778,0.8599,0.0179
WY2020 ROC-AUC,0.9306,0.9245,0.0061
WY2021 ROC-AUC,0.9429,0.9238,0.0191
WY2022 ROC-AUC,0.9251,0.9064,0.0187
WY2023 ROC-AUC,0.8324,0.8073,0.0252
WY2024 ROC-AUC,0.9338,0.9175,0.0163
