water_year,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
2020,0.9491122837487035,0.7953292360414165,0.11991256270434231,97983,21066,0.21499647898104773
2021,0.8975819861473107,0.4991571938272006,0.09201481498883764,89256,12560,0.14071883122703235
2022,0.8491497956328945,0.10427294268555644,0.026511983359918716,78893,1896,0.02403255041638675
2023,0.8651784831103939,0.11620705340817429,0.028956648156839394,79054,2053,0.025969590406557542
2024,0.9146665625404218,0.33815509690919704,0.04889313438198534,82261,5374,0.06532864905605329
