feature,importance_mean,importance_std
tmax,0.3776976662926736,0.001872476671043412
month_sin,0.1303196515089986,0.0012406403701778505
vpd,0.07386583131292168,0.0003297302891814457
srad,0.050101863808251525,0.0004975822894743338
tmin,0.04487774588384432,0.0005017215221974167
dist_airbase_km,0.03862853890033609,0.001397625004039576
sws,0.03586328284471585,0.0006219030475230945
tsf_years,0.033227467206972894,0.0005836154492768566
tsf_log,0.022951870148017917,0.00018879112421928352
dist_campground_km,0.014119718221924638,0.0005722791805923535
pet_anom_a,0.013449458396747872,0.0006134341666806976
aridity_index,0.013442959286901512,0.000266617245943693
dist_firestation_km,0.012293951590660357,0.0004281845791046006
fire_season,0.011393197129639553,0.00025442375572601577
kbdi,0.009273763529771651,0.0005389917143307936
cwd_cum3_anom_a,0.005650534416731645,0.00023504999842580783
elev,0.004108161100924157,0.00023423085975343236
vpd_roll6_std,0.0040472174501665625,0.0001662263794941319
cwd_cum6_anom_a,0.003192675175001236,0.00018340852804275715
log_housing_density,0.0025278470206165247,8.374633949182782e-05
month_cos,0.002369632874094063,2.651314954324494e-05
cwd_anom_a,0.0017969698434282977,0.00013391743384169434
dist_road_km,0.001653018925905836,9.587178992846817e-05
windward_index,0.0009353845525476468,0.00015443523434328845
ppt,0.0008169224363957283,8.547459176382352e-05
tst_broadcast_years,0.0003165812001071133,5.517269825102371e-05
dist_transmission_km,9.747142415201804e-05,0.00029766978865319437
fveg_herb,6.320468278957492e-05,0.00017319456367139726
any_treatment_5yr,0.0,0.0
fveg_forest,-5.189437350949788e-07,2.9437652942804253e-06
fveg_shrub,-9.117111587497728e-05,0.0001074613230206965
tst_mechanical_years,-0.0001274004630406056,1.9268247636194722e-05
aet_anom_a,-0.00040289734884035866,9.643788722419251e-05
housing_density,-0.001858540681793408,8.006756094717985e-05
