metric,trackA_bcmv8,trackB_emulator,delta
Overall ROC-AUC,0.9427,0.9403,0.0024
Overall Avg Precision,0.3174,0.302,0.0155
Overall Brier Score,0.0286,0.029,-0.0004
Fire Season ROC-AUC,0.8939,0.8901,0.0039
WY2020 ROC-AUC,0.9445,0.9454,-0.001
WY2021 ROC-AUC,0.9417,0.9373,0.0045
WY2022 ROC-AUC,0.9186,0.9164,0.0022
WY2023 ROC-AUC,0.9021,0.8843,0.0178
WY2024 ROC-AUC,0.9405,0.9387,0.0019
