metric,trackA_bcmv8,trackB_emulator,delta
Overall ROC-AUC,0.9445,0.9407,0.0039
Overall Avg Precision,0.3981,0.317,0.0812
Overall Brier Score,0.0286,0.03,-0.0013
Fire Season ROC-AUC,0.8989,0.8912,0.0077
WY2020 ROC-AUC,0.9443,0.9454,-0.0011
WY2021 ROC-AUC,0.9525,0.94,0.0125
WY2022 ROC-AUC,0.9299,0.9304,-0.0004
WY2023 ROC-AUC,0.8608,0.8454,0.0154
WY2024 ROC-AUC,0.9407,0.9352,0.0054
