metric,trackA_bcmv8,trackB_emulator,delta
Overall ROC-AUC,0.9253,0.9158,0.0095
Overall Avg Precision,0.5273,0.4343,0.0931
Overall Brier Score,0.0664,0.066,0.0004
Fire Season ROC-AUC,0.8626,0.8441,0.0184
WY2020 ROC-AUC,0.9491,0.9164,0.0327
WY2021 ROC-AUC,0.8976,0.9247,-0.0272
WY2022 ROC-AUC,0.8491,0.868,-0.0188
WY2023 ROC-AUC,0.8652,0.8725,-0.0073
WY2024 ROC-AUC,0.9147,0.9121,0.0026
