metric,trackA_bcmv8,trackB_emulator,delta
Overall ROC-AUC,0.9226,0.9207,0.0019
Overall Avg Precision,0.2492,0.2464,0.0029
Overall Brier Score,0.0307,0.0305,0.0001
Fire Season ROC-AUC,0.8583,0.8573,0.0011
WY2020 ROC-AUC,0.9275,0.9202,0.0073
WY2021 ROC-AUC,0.8989,0.9228,-0.0238
WY2022 ROC-AUC,0.838,0.8551,-0.0171
WY2023 ROC-AUC,0.894,0.8884,0.0056
WY2024 ROC-AUC,0.9214,0.9267,-0.0053
