feature,coefficient,odds_ratio
tmax,4.143477633481135,63.02160685100442
vpd,-1.7174841117717385,0.17951722551759158
tmin,-1.3071101963645095,0.27060091107951606
sws,-1.2181720924008632,0.29577031390862096
dist_airbase_km,-1.15847256853898,0.31396537541311603
kbdi,-0.7626076987797195,0.4664484825452048
tsf_years,-0.6490070179331782,0.5225644163126714
month_sin,-0.6366603941980534,0.5290563165952199
dist_campground_km,-0.6203294747302163,0.5377672276909223
month_cos,-0.6092666873383612,0.5437494612749965
dist_firestation_km,0.6016305634933345,1.82509230437165
elev,0.501726311249824,1.6515699349106447
aridity_index,0.3908449469732315,1.478229291716909
tsf_log,0.3889446517590409,1.4754228870116206
srad,-0.3657985627591752,0.6936425125715989
dist_transmission_km,-0.26496653631400596,0.7672316239444289
fveg_shrub,0.20770355510634658,1.2308482367856557
fveg_herb,0.18316388198284833,1.2010112160532598
fire_season,0.15508334096808954,1.1677552789052246
pet_anom_a,0.13171101262284252,1.140778601011499
windward_index,0.12617184346640167,1.1344771040114363
cwd_cum6_anom_a,0.10509091069017061,1.1108115904138864
vpd_roll6_std,0.08922611422094524,1.0933278453527897
cwd_cum3_anom_a,0.08921626598953798,1.0933170780601842
dist_road_km,0.08891021700535456,1.0929825206771384
ppt,0.07406989320430941,1.0768820696044725
log_housing_density,-0.06527646150946896,0.9368084360991898
housing_density,0.06368467071249641,1.0657562816015682
cwd_anom_a,0.04672783745530744,1.0478367883414779
tst_broadcast_years,-0.028961950587068092,0.971453426995987
fveg_forest,0.01822100392545999,1.0183880192710981
aet_anom_a,0.012817370133454381,1.0128998646997036
tst_mechanical_years,0.009878680027817537,1.0099276352589237
any_treatment_5yr,0.0,1.0
