feature,coefficient,odds_ratio
tmax,4.062975198813381,58.14705302387955
vpd,-1.6751346452900022,0.18728296101562283
tmin,-1.2837950321270777,0.27698413961904045
sws,-1.1925346097714387,0.3034511582492652
dist_airbase_km,-1.148492452976292,0.31711447418908617
kbdi,-0.7529194664042054,0.4709895055593891
tsf_years,-0.6725475827402669,0.5104066169763343
month_sin,-0.6428755430930595,0.5257783498910953
dist_campground_km,-0.6182940711557137,0.5388629157338202
month_cos,-0.613534777960997,0.5414336348922381
dist_firestation_km,0.596251939977032,1.8153021723032507
elev,0.49445042203704703,1.639596905075928
tsf_log,0.4050801335925132,1.499422649366294
aridity_index,0.38671931074550836,1.4721432184927308
srad,-0.3690473364180528,0.691392681622666
dist_transmission_km,-0.2574624962794127,0.773010616544033
fveg_shrub,0.21003398830034817,1.2337199912897614
fveg_herb,0.18281402439787212,1.2005911066631956
fire_season,0.15665137002730503,1.1695877894560294
pet_anom_b,0.13164527998304462,1.1407036170871023
windward_index,0.12188298468585067,1.129621910983512
cwd_cum6_anom_b,0.10058540609016133,1.105818081269914
cwd_cum3_anom_b,0.09821144114652613,1.1031960214813807
dist_road_km,0.08570458593791537,1.0894844317395256
vpd_roll6_std,0.0823517464749853,1.0858376822416091
log_housing_density,-0.0760809933881504,0.9267411436144625
housing_density,0.06521416085462686,1.0673875925471805
ppt,0.06276342124686483,1.0647749063117877
cwd_anom_b,0.04503159750484546,1.0460609123012727
tst_broadcast_years,-0.029649210445935235,0.9707860154197162
fveg_forest,0.01559979363549337,1.0157221056023769
aet_anom_b,0.013931000799261885,1.0140284893693057
tst_mechanical_years,0.0064498315985127225,1.0064706765537228
any_treatment_5yr,0.0,1.0
