water_year,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
2020,0.9163909090992913,0.4216130142422041,0.0676820084684969,251302,21066,0.08382742676142649
2021,0.9256969928147571,0.33441592183206803,0.04187216349749496,243129,12560,0.051659818450287706
2022,0.8566588754318482,0.042710892397382086,0.009252075753836101,232891,1896,0.008141147575475223
2023,0.8888532662075016,0.07006566494362813,0.009263252764305716,233045,2053,0.00880945740093115
2024,0.927175727047924,0.1747626170713088,0.020041862734625524,236237,5374,0.02274834170769185
