water_year,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
2020,0.9156132596577365,0.7257377321361604,0.13861088712782552,78526,21066,0.26826783485724476
2021,0.920949723667082,0.6400099243650138,0.09600545395765024,70150,12560,0.1790449037776194
2022,0.8509404351293701,0.13503623501135853,0.03932094489423878,59599,1896,0.03181261430560915
2023,0.8835190395424009,0.20908008059723787,0.03615534607231602,60076,2053,0.03417338038484586
2024,0.9245331008358814,0.4381535447797236,0.057911631526004946,63277,5374,0.0849281729538379
