quarter,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
Q1,0.601814153584984,0.006668767988776593,0.0016347976321695488,71970,104,0.001445046547172433
Q2,0.8453105175975081,0.08676560120546264,0.03613447980405826,74049,1721,0.02324136720279815
Q3,0.7989940370022532,0.6124495509109963,0.1920734083228616,111645,39706,0.35564512517354113
Q4,0.8585110893309189,0.12274667219726045,0.021117825406794726,73964,1418,0.019171488832404954
fire_season,0.851491876513162,0.5496853395376997,0.13331216605936835,186997,42487,0.2272068535858864
