quarter,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
Q1,0.6246600080215869,0.0015768335581775369,0.00037022526661105513,288940,104,0.0003599363189589534
Q2,0.8518524410482764,0.02478342141716562,0.00732373166335766,290491,1721,0.005924452048428351
Q3,0.8069850736341755,0.3011637281998752,0.10035390356601379,326972,39706,0.12143547459721321
Q4,0.8660590518509154,0.04267480864824479,0.005094064003365152,290201,1418,0.004886268482879108
fire_season,0.8572688018891194,0.2522124594522481,0.05807650262554728,618480,42487,0.06869583495020049
