water_year,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
2020,0.9201659816332305,0.433432701967572,0.06838944811343271,251302,21066,0.08382742676142649
2021,0.9227923274166405,0.32362277113594967,0.04252391400019732,243129,12560,0.051659818450287706
2022,0.8550755226678057,0.039660040219551274,0.009077057888478818,232891,1896,0.008141147575475223
2023,0.8883795232513498,0.06850110338254975,0.009139542272769743,233045,2053,0.00880945740093115
2024,0.9266846145762477,0.17261567202807893,0.020134773779564876,236237,5374,0.02274834170769185
