water_year,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
2020,0.9288470021961397,0.8253050083598366,0.14405528166230355,57037,21066,0.369339200869611
2021,0.8985100191704958,0.6651458990897268,0.1230359189108279,48699,12560,0.25791084005831744
2022,0.8383075992838068,0.1853475947132066,0.057283296461236644,37518,1896,0.05053574284343515
2023,0.8952370533080191,0.28152556849233473,0.05046125116318801,38259,2053,0.05366057659635641
2024,0.9229366894798727,0.567934632411139,0.07730763252354521,41502,5374,0.1294877355308178
