feature,importance_mean,importance_std
tmax,0.39542053535019983,0.0019207247895014026
vpd,0.05372935591296337,0.0008317507170442768
dist_airbase_km,0.04103169096137742,0.0009285558218645615
sws,0.03957476957831159,0.0002034930686356005
tsf_years,0.03586306095055958,0.0005489362042210676
tmin,0.03154321319650488,0.0005332790401424586
tsf_log,0.024446454425871324,0.00032627943696548415
month_cos,0.02236391378580449,0.00034994635532635944
month_sin,0.02052481904554977,9.074557612173552e-05
elev,0.019716744645996643,0.0002969749801685601
aridity_index,0.013961063011615038,0.00024260127123933297
kbdi,0.013758382786709378,0.0002273140710753034
dist_firestation_km,0.012209411302962403,0.00032342469194903165
dist_campground_km,0.011655370999925974,0.0005395913121796024
pet_anom_a,0.005791288872569455,0.0003668351946899951
cwd_cum3_anom_a,0.004417107778274554,0.0001537288722557663
cwd_cum6_anom_a,0.003593762853031479,0.0001177927982961344
log_housing_density,0.002293244023188623,7.857641942184952e-05
dist_road_km,0.0015125431696717984,5.517452478249951e-05
vpd_roll6_std,0.0015098449243791557,8.590203605182001e-05
cwd_anom_a,0.0014640175201186656,6.355557628243813e-05
srad,0.0013040141195336473,0.00025870119609178014
fire_season,0.0012463395140075218,3.898595530613818e-05
windward_index,0.0011254426465492572,3.476781584071994e-05
fveg_forest,0.0003021705263829055,1.1546305233703221e-05
tst_broadcast_years,0.00011768956803550611,2.65116171288594e-05
dist_transmission_km,7.573019995448238e-05,0.00019800608432388254
any_treatment_5yr,0.0,0.0
ppt,-4.866635004736608e-05,4.879544177020184e-05
fveg_herb,-0.00011161547989020359,0.00010755716689471071
tst_mechanical_years,-0.00019744794949780876,1.8129928374730477e-05
aet_anom_a,-0.0003438884167557887,3.3984689544229934e-05
fveg_shrub,-0.000475210751559052,9.011355290846022e-05
housing_density,-0.0013856926945191804,3.605794628620208e-05
