quarter,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
Q1,0.6575001194245783,0.006040057932703401,0.0026508530164158057,45192,104,0.002301292264117543
Q2,0.863710749564207,0.14724356940213976,0.045449012311536155,46721,1721,0.03683568416771901
Q3,0.8042118278109631,0.7191857465733672,0.2070867217626635,84632,39706,0.46916060119103886
Q4,0.8559856142414715,0.17842070555668724,0.0371636822712631,46470,1418,0.030514310307725414
fire_season,0.8598609143450852,0.6746026234020982,0.15729752819542858,132337,42487,0.32105155776540195
