metric,trackA_bcmv8,trackB_emulator,delta
Overall ROC-AUC,0.9221,0.9204,0.0017
Overall Avg Precision,0.5559,0.5519,0.0039
Overall Brier Score,0.0787,0.0783,0.0004
Fire Season ROC-AUC,0.8576,0.857,0.0006
WY2020 ROC-AUC,0.9266,0.9203,0.0063
WY2021 ROC-AUC,0.8991,0.9227,-0.0236
WY2022 ROC-AUC,0.8354,0.8526,-0.0172
WY2023 ROC-AUC,0.8935,0.8873,0.0062
WY2024 ROC-AUC,0.9213,0.9268,-0.0055
