feature,coefficient,odds_ratio
tmax,4.0562171232173805,57.7554156917649
vpd,-2.0351525429424435,0.13066054963905155
tmin,-1.7017841759975665,0.18235787508788834
month_sin,-1.5867420493986915,0.20459107473776608
sws,-1.1396797753308063,0.3199214521562524
dist_airbase_km,-1.1331912323091258,0.32200402538857104
srad,1.0284243853562298,2.7966559094355006
fire_season,-0.7659866905974069,0.46487501680034854
kbdi,-0.6985164182827515,0.4973225754353057
dist_campground_km,-0.6896669240870608,0.5017431597985725
tsf_years,-0.6590045326182744,0.5173660993096708
dist_firestation_km,0.6380053849387624,1.892701900037108
aridity_index,0.4028629647244718,1.4961018588850912
tsf_log,0.3930869542373398,1.4815472105361833
fveg_shrub,0.24721564905776322,1.2804552119669037
dist_transmission_km,-0.22007583047875437,0.8024579448851078
pet_anom_b,0.21798022012061846,1.243562469860135
vpd_roll6_std,0.2011652926196555,1.2228268793777008
elev,0.19785448204797268,1.218785025815923
ppt,0.18718445756502486,1.2058496926350029
fveg_herb,0.17009681348484826,1.1854196103686514
month_cos,-0.1485326649057028,0.861971850481419
windward_index,0.12854880786817888,1.137176923118101
cwd_cum3_anom_b,0.11939338129716263,1.1268130983115452
housing_density,0.11331503870805126,1.119984715913462
dist_road_km,0.09728375854290308,1.1021730802796066
cwd_cum6_anom_b,0.0913199422848185,1.095619484190024
log_housing_density,-0.085626578620613,0.9179369445079427
cwd_anom_b,0.05885078656690112,1.0606169706330486
aet_anom_b,0.048094851242040604,1.049270175183957
tst_broadcast_years,-0.02910492391538732,0.9713145449946698
tst_mechanical_years,0.004413777108864168,1.0044235321699888
fveg_forest,-0.00027640759847098403,0.9997236305985898
any_treatment_5yr,0.0,1.0
