feature,importance_mean,importance_std
tmax,0.021327463845650096,0.00024240779424833034
tmin,0.02127195695775532,0.0006214536488097796
srad,0.018384027115312396,0.000675696695424088
elev,0.018134353039236384,0.0004970325052604855
fire_season,0.0170733199088265,0.0003498130983176416
kbdi,0.011938470340943596,0.0005978294024623444
sws,0.011471101517674342,0.0010201872225913703
month_sin,0.010671558455911256,0.000472928572795525
dist_campground_km,0.008896734009435203,0.0006023610436977512
dist_airbase_km,0.008448871752522003,0.0005081576937755688
vpd,0.005007604275562549,0.00025804287934259374
log_housing_density,0.004233746521715309,0.0002760093426291467
ppt,0.004211351516879347,0.00022470003922774314
month_cos,0.004194750108917167,0.00016441022103840203
windward_index,0.00363016466557462,0.00023271181859149095
housing_density,0.0029454434133519003,0.00020476653713896338
tsf_years,0.002529182673931163,0.0001795814719400217
tsf_log,0.0022343665899933417,0.00014001952866517508
pet_anom_a,0.0021004702918750117,0.0002945295340710548
cwd_cum3_anom_a,0.0015111449490883499,0.00021526726516404412
vpd_roll6_std,0.0014479777005862893,0.0002547832258660202
dist_firestation_km,0.001284487741317042,0.00015972878699935594
dist_road_km,0.0011460040267889716,0.0001539114148643137
cwd_cum6_anom_a,0.0008863962684626303,0.00023088437932439752
dist_transmission_km,0.0007844983657957049,0.00013759405166654745
fveg_shrub,0.0006260399273190886,5.4414176562551015e-05
cwd_anom_a,0.0006168938410185509,0.000130248005344896
aet_anom_a,0.0006101287291408131,0.00017354609691264968
fveg_herb,0.0003622099507049947,4.6075272956710405e-05
aridity_index,0.0003196744894393033,6.703295916414688e-05
fveg_forest,0.00011752398231146266,6.1699975242727e-05
tst_broadcast_years,7.497561445912737e-07,1.3633899136680215e-06
tst_mechanical_years,0.0,0.0
any_treatment_5yr,0.0,0.0
