ecoregion_id,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
-128,0.9252484325016964,0.0392950876543003,0.003142367224292001,180491,572,0.003169133086968325
1,0.9401999853441787,0.13733911865729773,0.016371381952244274,32660,585,0.017911818738518066
4,0.9435965063498291,0.5067393990772603,0.06647448935615144,36555,3264,0.08929011079195733
5,0.9245098143462374,0.4824705670570365,0.06355101505220576,135206,11331,0.08380545242075056
6,0.9063763739284412,0.3124982401479572,0.04232018582241099,193403,9894,0.05115742775448157
7,0.9335971486338104,0.08592870935139466,0.0036151266517571966,110912,402,0.0036244950952106173
8,0.8563757662189123,0.1637961068203373,0.04858497410080763,40136,2241,0.05583516045445485
9,0.9033519683468475,0.1658284518355564,0.026039622450691777,41922,1233,0.029411764705882353
13,0.7779454118737481,0.3132519253245125,0.015881932188471223,29655,516,0.017400101163378857
14,0.8236000244809223,0.018621746951890596,0.005562506933547819,180897,939,0.005190799184066071
78,0.9338225527001599,0.6325877589804463,0.0856556486530813,89060,10524,0.11816752750954412
80,0.9182661876195819,0.11350324967684984,0.01909488319064301,9062,188,0.02074597219156919
85,0.8442171854095846,0.09426229209244336,0.022672983753862726,50633,1186,0.023423459008946733
