quarter,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
Q1,0.6534318416785889,0.0009759734332058214,0.0003713394348790392,288940,104,0.0003599363189589534
Q2,0.8624987682936687,0.025895997595063006,0.006546016011464467,290491,1721,0.005924452048428351
Q3,0.8018591101615806,0.289812082540698,0.10135823096885739,326972,39706,0.12143547459721321
Q4,0.8556006033139011,0.037382967360768966,0.005289245791702704,290201,1418,0.004886268482879108
fire_season,0.8583386668129761,0.25291686125605756,0.058474367594336406,618480,42487,0.06869583495020049
