quarter,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
Q1,0.7922761298270927,0.00596162528432438,0.0024143324183013917,71970,104,0.001445046547172433
Q2,0.9032202250114898,0.1553689321999822,0.028446858606817216,74049,1721,0.02324136720279815
Q3,0.8345176529553409,0.6890536142496564,0.17888815695898122,111645,39706,0.35564512517354113
Q4,0.8527773166790299,0.14648714653838407,0.022270543544938445,73964,1418,0.019171488832404954
fire_season,0.8778116974423372,0.6373791825333744,0.12376247023517586,186997,42487,0.2272068535858864
