water_year,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
2020,0.9262772562058995,0.42003324017874877,0.06769600599513234,251302,21066,0.08382742676142649
2021,0.8981978816778199,0.2445318607612871,0.04378676883573561,243129,12560,0.051659818450287706
2022,0.8381149728065971,0.034956123503777,0.008872614463633835,232891,1896,0.008141147575475223
2023,0.8945138399413533,0.0639120866514886,0.00887563471400261,233045,2053,0.00880945740093115
2024,0.9243047068446907,0.18669488994727898,0.020150517397766802,236237,5374,0.02274834170769185
