quarter,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
Q1,0.6350161809949112,0.0008375977906618093,0.00037287162204984587,288940,104,0.0003599363189589534
Q2,0.8620056873492788,0.02574856132323329,0.006542347443994052,290491,1721,0.005924452048428351
Q3,0.8031957112345309,0.2927399042625056,0.10098171915197093,326972,39706,0.12143547459721321
Q4,0.8543051029668316,0.03899252326559878,0.005260567303134169,290201,1418,0.004886268482879108
fire_season,0.8595768345884067,0.25650113798588986,0.05826110538315709,618480,42487,0.06869583495020049
