water_year,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
2020,0.9444521511795325,0.5246423114858209,0.06346217603552085,251302,21066,0.08382742676142649
2021,0.9417419070608289,0.3945988740307186,0.039401481871044704,243129,12560,0.051659818450287706
2022,0.9186363503310709,0.06164841365246869,0.008794399153338732,232891,1896,0.008141147575475223
2023,0.9020951295230659,0.07617037942612494,0.009074411643141463,233045,2053,0.00880945740093115
2024,0.9405316617041405,0.19675539830784392,0.019379165010998383,236237,5374,0.02274834170769185
