water_year,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
2020,0.9225323836784457,0.728482102291234,0.13722283570960603,78526,21066,0.26826783485724476
2021,0.8959753364437608,0.5508486730618847,0.10630916482211482,70150,12560,0.1790449037776194
2022,0.8300194914508755,0.11825849242480073,0.037340577991435205,59599,1896,0.03181261430560915
2023,0.8875793237139388,0.1936976332212822,0.03384550392120557,60076,2053,0.03417338038484586
2024,0.9199677082730168,0.43747827859781957,0.058703593204983494,63277,5374,0.0849281729538379
