quarter,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
Q1,0.6187055663424879,0.00467277144415742,0.0016537204524154925,71970,104,0.001445046547172433
Q2,0.8575534521828733,0.09327854101866861,0.028611694878203888,74049,1721,0.02324136720279815
Q3,0.7918258755782636,0.5986638008804412,0.19938143812652118,111645,39706,0.35564512517354113
Q4,0.8477552708447386,0.1079142246607428,0.023104116368579175,73964,1418,0.019171488832404954
fire_season,0.8513534780307381,0.5481910570775875,0.1366676927407569,186997,42487,0.2272068535858864
