water_year,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
2020,0.9454394843432414,0.5252470312942783,0.0646213031967592,251302,21066,0.08382742676142649
2021,0.9372660371256012,0.37207842984157136,0.040228549963255214,243129,12560,0.051659818450287706
2022,0.9163999613486437,0.05820364815397193,0.008635790195780564,232891,1896,0.008141147575475223
2023,0.8842701995680646,0.053108073319809455,0.009084593870004383,233045,2053,0.00880945740093115
2024,0.9386546980713606,0.18425198015400668,0.01948721995618359,236237,5374,0.02274834170769185
