feature,coefficient,odds_ratio
tmax,4.1016989815211815,60.44289176758637
vpd,-1.6969449493470445,0.18324248486422492
tmin,-1.3068587613403273,0.2706689581804908
sws,-1.2061666701461708,0.29934256168334555
dist_airbase_km,-1.1569426758286872,0.3144460763689294
kbdi,-0.7593991017266576,0.4679475314075149
month_sin,-0.648193425230711,0.5229897439066041
dist_campground_km,-0.636256408245595,0.5292700910932233
tsf_years,-0.6348207372981952,0.5300304945002646
month_cos,-0.618351268096454,0.5388320953049872
dist_firestation_km,0.6022637734910206,1.8262483370325708
elev,0.49254860571721537,1.6364816561784692
tsf_log,0.38038820092426856,1.4628523598607586
aridity_index,0.3778259492235913,1.4591089617259763
srad,-0.3619017408954322,0.696350787285123
dist_transmission_km,-0.26675012301423756,0.7658644194502844
fveg_shrub,0.20721923646444376,1.2302522583726045
fveg_herb,0.18050908595151816,1.1978270048291368
fire_season,0.15592386617730605,1.1687372192703451
pet_anom_a,0.13454271663795694,1.1440135263702869
windward_index,0.1272995540625335,1.1357571875089008
cwd_cum6_anom_a,0.0999565872117006,1.1051229405659728
cwd_cum3_anom_a,0.09252962591105215,1.0969456390928498
dist_road_km,0.09077387797725203,1.095021368814625
vpd_roll6_std,0.08970284134226747,1.0938491886485366
ppt,0.07183482126104374,1.0744778485089181
log_housing_density,-0.07124415404291197,0.9312344997013304
housing_density,0.06445694445061814,1.0665796550830233
cwd_anom_a,0.04695032919763666,1.0480699493114258
tst_broadcast_years,-0.030136686621645144,0.9703128956921535
aet_anom_a,0.015140305567003786,1.0152555006218715
fveg_forest,0.011094292177616424,1.0111560620567606
tst_mechanical_years,0.0050056327368448806,1.0050181818464003
any_treatment_5yr,0.0,1.0
