metric,trackA_bcmv8,trackB_emulator,delta
Overall ROC-AUC,0.9188,0.9173,0.0015
Overall Avg Precision,0.5424,0.54,0.0024
Overall Brier Score,0.079,0.0778,0.0012
Fire Season ROC-AUC,0.8514,0.8515,-0.0001
WY2020 ROC-AUC,0.9225,0.9156,0.0069
WY2021 ROC-AUC,0.896,0.9209,-0.025
WY2022 ROC-AUC,0.83,0.8509,-0.0209
WY2023 ROC-AUC,0.8876,0.8835,0.0041
WY2024 ROC-AUC,0.92,0.9245,-0.0046
