quarter,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
Q1,0.6496594088570824,0.0038543526087353743,0.001605389108713653,71970,104,0.001445046547172433
Q2,0.8634241873854923,0.09663212036615702,0.028455281935717208,74049,1721,0.02324136720279815
Q3,0.8006731524341492,0.6110193763974376,0.1985069625497403,111645,39706,0.35564512517354113
Q4,0.8518649001147347,0.12238255216192968,0.02316285708953228,73964,1418,0.019171488832404954
fire_season,0.8576350115989271,0.561655183818693,0.1362242252245746,186997,42487,0.2272068535858864
