water_year,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
2020,0.9221494766783171,0.822126246751253,0.14796815623523504,57037,21066,0.369339200869611
2021,0.922560529293917,0.7432115467906235,0.11417365500401443,48699,12560,0.25791084005831744
2022,0.85456070384608,0.20785591340287346,0.05918397369587456,37518,1896,0.05053574284343515
2023,0.8890203535492458,0.29824975168968826,0.05382490610980515,38259,2053,0.05366057659635641
2024,0.9289955416963479,0.5717093375243676,0.07629486260049118,41502,5374,0.1294877355308178
