feature,importance_mean,importance_std
tmin,0.06365890649831055,0.0008864242334413525
dist_airbase_km,0.053602530840217134,0.0006312509741279046
tmax,0.036791059036958805,0.0005489436985576085
sws,0.024484673760012687,0.0005925563579198374
elev,0.0210037468115128,0.0004140347359173652
srad,0.01818673813318892,0.0003071347980791131
kbdi,0.01774655220627397,0.0006711047800686445
ppt,0.012431554217758212,0.00018739666701672258
pet_anom_b,0.010267214713161055,0.00017339578672056192
fire_season,0.010170160877360335,0.00031474876125039264
dist_campground_km,0.00861325898609897,0.0003598342787064629
dist_firestation_km,0.006549197875253365,0.00016578698370673926
month_sin,0.00535605908413499,0.00015587740948296884
windward_index,0.004740699512209812,0.00012173734893825424
tsf_log,0.0045603533503213445,0.00012817863833587093
tsf_years,0.004276519597233163,0.00013588618108682503
vpd,0.003906027184431693,0.0002405282070592734
log_housing_density,0.0034404881297990463,0.00014273321754855304
housing_density,0.0032157904583919096,0.00011520693251818044
aridity_index,0.0018289371009518219,5.8132296757015986e-05
dist_transmission_km,0.0017833473053878945,0.00014893454220819363
fveg_shrub,0.0015757991056133847,9.517495267963571e-05
dist_road_km,0.001482030916659527,5.409448200419849e-05
vpd_roll6_std,0.0014602381592629054,0.00017834414478893167
cwd_cum3_anom_b,0.00138061337390043,0.000338781974546561
cwd_cum6_anom_b,0.0010055374400495642,0.00014831628809197715
fveg_herb,0.0005894948688435209,3.9952569667116356e-05
cwd_anom_b,0.0005096863753993652,9.48156256932182e-05
aet_anom_b,0.0005088780068731813,1.5176466558858266e-05
fveg_forest,0.00047553697633890836,7.699377633566563e-05
month_cos,0.0003737680841494395,4.2822371809360024e-05
tst_mechanical_years,0.0,0.0
any_treatment_5yr,0.0,0.0
tst_broadcast_years,-2.5492872980925618e-05,1.0092446284893426e-05
