water_year,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
2020,0.9244851788301689,0.765628076216592,0.13559388914781229,78526,21066,0.26826783485724476
2021,0.9238375270830592,0.6678007378776073,0.09538274330110394,70150,12560,0.1790449037776194
2022,0.906377336632345,0.1854938074878929,0.03551554236484659,59599,1896,0.03181261430560915
2023,0.8072905298257568,0.09706706671621276,0.04062450391019148,60076,2053,0.03417338038484586
2024,0.9174744547464205,0.4046844195705189,0.058555152731932854,63277,5374,0.0849281729538379
