quarter,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
Q1,0.7960182706490071,0.009432771111384398,0.0032101997645696445,71970,104,0.001445046547172433
Q2,0.8860757623560201,0.1470212902665428,0.030907216250030435,74049,1721,0.02324136720279815
Q3,0.8133282587862615,0.6390619959820563,0.19240225773660782,111645,39706,0.35564512517354113
Q4,0.8530483134537233,0.1674464621727375,0.021642305572509013,73964,1418,0.019171488832404954
fire_season,0.859949356268309,0.5798648051695705,0.13181240481917847,186997,42487,0.2272068535858864
