ecoregion_id,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
-128,0.8593009531727543,0.06893520051151766,0.01442131640360344,45471,572,0.012579446240460953
1,0.9484881440195755,0.45670673652168114,0.048259104405919816,8507,585,0.06876689784883037
4,0.8805087402244476,0.6849166985733167,0.16127475360461613,11558,3264,0.2824017996193113
5,0.9065896341498917,0.7112517681868332,0.13433908344860884,42510,11331,0.2665490472829922
6,0.8776121283721229,0.536027833699954,0.10776093291702389,55700,9894,0.17763016157989228
7,0.8983501707249052,0.21040003315541855,0.016595269980925937,28124,402,0.01429384155881098
8,0.8052026966023563,0.3848357763842854,0.1267776266144618,11859,2241,0.18897040222615735
9,0.8831697194312084,0.39832913654090074,0.07476708489575956,11458,1233,0.1076104032117298
13,0.8104694507633916,0.3898485622439727,0.054861439529878965,7938,516,0.06500377928949358
14,0.8197453480292274,0.07546595348016084,0.022984568406396916,45575,939,0.020603400987383433
78,0.9055216411864097,0.7977326749474062,0.17658420697202462,30028,10524,0.350472891967497
80,0.924190299818865,0.37423290548858895,0.0529220212763072,2549,188,0.07375441349548843
85,0.8436278470789431,0.2867713747041533,0.07818874192612396,13643,1186,0.08693102690024188
