water_year,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
2020,0.9454376236797429,0.5324228936268466,0.06683123173007159,251302,21066,0.08382742676142649
2021,0.9399994134560433,0.39350402235938087,0.04203580465740403,243129,12560,0.051659818450287706
2022,0.9303781702309117,0.06482574210023478,0.008381504510886121,232891,1896,0.008141147575475223
2023,0.8453661494078729,0.033543237265774524,0.009205431089405662,233045,2053,0.00880945740093115
2024,0.9352423323653054,0.16586506043913024,0.020182733798916958,236237,5374,0.02274834170769185
