feature,importance_mean,importance_std
tmin,0.019443929451537213,0.0005321758046296313
elev,0.01802473288294697,0.0004605689282180493
tmax,0.01697519806674148,0.00026778993246036743
fire_season,0.015267977219287299,0.00023432322460473318
srad,0.014643263151816988,0.0005990123686209362
sws,0.012090446146089761,0.0009095643976645405
kbdi,0.01170181462458848,0.0007705666187418169
month_sin,0.010703317199261741,0.0004935384433120813
dist_airbase_km,0.007828616328790127,0.0005096272294559571
pet_anom_b,0.007797538408605198,0.0005689413608912751
dist_campground_km,0.0069733859800599875,0.0006193669883939617
vpd,0.004818185249630891,0.00027546442441487136
windward_index,0.0037903863216507184,0.00024575601851645564
ppt,0.003535138647569691,0.00022520678933524296
log_housing_density,0.003497120203075732,0.0003242990639319192
housing_density,0.00293046207705856,0.0002839729883117354
month_cos,0.0028677747194220116,0.00032016163498881095
tsf_years,0.002449000419593661,0.00016052827748013913
tsf_log,0.0019566881245936417,0.00019583308005055415
cwd_cum3_anom_b,0.0016844172313861927,0.00035809254502183594
dist_firestation_km,0.0013427044286101087,0.00015507058807004342
cwd_cum6_anom_b,0.0010012793843542811,0.00015850101752273228
cwd_anom_b,0.0008383684621074084,0.0001488911222080607
vpd_roll6_std,0.0008150609019642152,0.00010446444703364172
fveg_shrub,0.0006077201815263944,5.119390229346178e-05
aet_anom_b,0.0004758337930723222,0.00021873373858236363
dist_transmission_km,0.0004297936031627092,8.439707288555931e-05
fveg_herb,0.00038911375902148657,4.3437363818865616e-05
dist_road_km,0.000328379111343291,0.0001422471331166419
fveg_forest,0.0002185665293769068,7.953833332306857e-05
aridity_index,0.0001102854328681735,9.495930873564688e-05
tst_mechanical_years,0.0,0.0
any_treatment_5yr,0.0,0.0
tst_broadcast_years,-5.847569929406937e-06,7.274824415646778e-07
